Date,GBP 2m 1y,,,Date,GBP 2m 5y
01/03/2001,5.4939,,,01/03/2001,5.8883
01/04/2001,5.4655,,,01/04/2001,5.6464
01/05/2001,5.46,,,01/05/2001,5.7385
01/08/2001,5.4499,,,01/08/2001,5.7481
01/09/2001,5.3975,,,01/09/2001,5.6981
01/10/2001,5.4945,,,01/10/2001,5.738
01/11/2001,5.5296,,,01/11/2001,5.7477
01/12/2001,5.4948,,,01/12/2001,5.7684
1/15/2001,5.5723,,,1/15/2001,5.8075
1/16/2001,5.5271,,,1/16/2001,5.7672
1/17/2001,5.5016,,,1/17/2001,5.7874
1/18/2001,5.5287,,,1/18/2001,5.7773
1/19/2001,5.4548,,,1/19/2001,5.7586
1/22/2001,5.4822,,,1/22/2001,5.768
1/23/2001,5.5052,,,1/23/2001,5.8071
1/24/2001,5.5142,,,1/24/2001,5.8074
1/25/2001,5.6236,,,1/25/2001,5.797
1/26/2001,5.5905,,,1/26/2001,5.7461
1/29/2001,5.5498,,,1/29/2001,5.716
1/30/2001,5.4937,,,1/30/2001,5.6856
1/31/2001,5.5235,,,1/31/2001,5.6761
02/01/2001,5.3757,,,02/01/2001,5.6688
02/02/2001,5.4547,,,02/02/2001,5.6079
02/05/2001,5.5032,,,02/05/2001,5.6272
02/06/2001,5.4449,,,02/06/2001,5.6267
02/07/2001,5.4508,,,02/07/2001,5.639
02/08/2001,5.4302,,,02/08/2001,5.5677
02/09/2001,5.525,,,02/09/2001,5.6594
02/12/2001,5.4031,,,02/12/2001,5.6096
2/13/2001,5.4237,,,2/13/2001,5.5893
2/14/2001,5.4224,,,2/14/2001,5.6611
2/15/2001,5.5044,,,2/15/2001,5.7022
2/16/2001,5.5509,,,2/16/2001,5.7613
2/19/2001,5.4796,,,2/19/2001,5.7212
2/20/2001,5.4891,,,2/20/2001,5.7402
2/21/2001,5.4157,,,2/21/2001,5.8023
2/22/2001,5.444,,,2/22/2001,5.8742
2/23/2001,5.477,,,2/23/2001,5.885
2/26/2001,5.4344,,,2/26/2001,5.8223
2/27/2001,5.3751,,,2/27/2001,5.8446
2/28/2001,5.2603,,,2/28/2001,5.733
