Date,USD LIBOR3M 1y,,,Date,USD LIBOR3M 5y
01/03/2001,5.6835,,,01/03/2001,6.0871
01/04/2001,5.4851,,,01/04/2001,6.0712
01/05/2001,5.3588,,,01/05/2001,5.9439
01/08/2001,5.1679,,,01/08/2001,5.7736
01/09/2001,5.161,,,01/09/2001,5.8055
01/10/2001,5.2215,,,01/10/2001,5.8289
01/11/2001,5.3761,,,01/11/2001,5.9991
01/12/2001,5.3239,,,01/12/2001,6.0265
1/16/2001,5.5112,,,1/16/2001,6.1661
1/17/2001,5.4698,,,1/17/2001,6.1727
1/18/2001,5.3794,,,1/18/2001,6.1098
1/19/2001,5.2646,,,1/19/2001,6.0326
1/22/2001,5.3008,,,1/22/2001,6.0695
1/23/2001,5.3227,,,1/23/2001,6.18
1/24/2001,5.4153,,,1/24/2001,6.2293
1/25/2001,5.4355,,,1/25/2001,6.249
1/26/2001,5.371,,,1/26/2001,6.1831
1/29/2001,5.3868,,,1/29/2001,6.2365
1/30/2001,5.2828,,,1/30/2001,6.1473
1/31/2001,5.1865,,,1/31/2001,6.0663
02/01/2001,5.0296,,,02/01/2001,5.912
02/02/2001,5.069,,,02/02/2001,5.8854
02/05/2001,5.218,,,02/05/2001,6.0147
02/06/2001,5.226,,,02/06/2001,6.0723
02/07/2001,5.2251,,,02/07/2001,6.0775
02/08/2001,5.2409,,,02/08/2001,6.0458
02/09/2001,5.221,,,02/09/2001,6.0727
02/12/2001,5.1091,,,02/12/2001,5.9839
2/13/2001,5.1547,,,2/13/2001,6.0347
2/14/2001,5.2183,,,2/14/2001,6.024
2/15/2001,5.3798,,,2/15/2001,6.1642
2/16/2001,5.3456,,,2/16/2001,6.1705
2/20/2001,5.1465,,,2/20/2001,6.0544
2/21/2001,5.1936,,,2/21/2001,6.0704
2/22/2001,5.1704,,,2/22/2001,6.106
2/23/2001,5.1147,,,2/23/2001,6.1544
2/26/2001,5.0666,,,2/26/2001,6.1189
2/27/2001,5.1211,,,2/27/2001,6.2533
2/28/2001,5.1173,,,2/28/2001,6.1351
03/01/2001,5.0835,,,03/01/2001,6.078
03/02/2001,5.1283,,,03/02/2001,6.0523
