USFS01C BLC Curncy,,1/1/2001,,USFS05C BLC Curncy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,px_mid,6/6/2017,,,px_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2001,5.6835,,,1/1/2001,6.0871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2001,5.4851,,,1/3/2001,6.0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2001,5.3588,,,1/4/2001,5.9439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2001,5.1679,,,1/5/2001,5.7736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2001,5.161,,,1/8/2001,5.8055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2001,5.2215,,,1/9/2001,5.8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2001,5.3761,,,1/10/2001,5.9991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2001,5.3239,,,1/11/2001,6.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2001,5.5112,,,1/12/2001,6.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2001,5.4698,,,1/16/2001,6.1727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2001,5.3794,,,1/17/2001,6.1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2001,5.2646,,,1/18/2001,6.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2001,5.3008,,,1/19/2001,6.0695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2001,5.3227,,,1/22/2001,6.18,,,,,,,,,,,,,,,,,,,,,,,,GBPUSD,1.2896,,,,
1/23/2001,5.4153,,,1/23/2001,6.2293,,,,,US swaption grid,,,,,,,,,US swaption grid,,,,,,,,,,,,,,,
1/24/2001,5.4355,,,1/24/2001,6.249,,,,,,Expiry,3m,6m,1y,2y,5y,10y,,,Expiry,3m,6m,1y,2y,5y,10y,,,3m,6m,1y,2y,5y,10y
1/25/2001,5.371,,,1/25/2001,6.1831,,,,,Tenor,,0c,0f,01,02,05,10,,Tenor,,0c,0f,01,02,05,10,,,0c,0f,01,02,05,10
1/26/2001,5.3868,,,1/26/2001,6.2365,,,,,1y,1,34.2,39.7,49,63,80.5,75.81,,1y,1,1.4195,1.487,1.6376,1.84695,2.2566,2.6145,,ATM,7.9775,8.1575,8.47,8.7725,9.39,9.93
1/29/2001,5.2828,,,1/29/2001,6.1473,,,,,2y,2,46.3,50.4,58.7,69.1,80,75.45,,2y,2,1.553,1.6241,1.7145,1.91895,2.284,2.6205,,25d RR,-1.1,-1,-0.985,-1.1275,-1.36,-1.225
1/30/2001,5.1865,,,1/30/2001,6.0664,,,,,5y,5,61.7,64.9,68.6,73.4,79.4,74.35,,5y,5,1.816,1.861,1.9635,2.0835,2.43255,2.62,,25d Butterfly,0.31,0.35,0.3975,0.3825,0.3725,0.31
